"filename", "language", "Swift", "Markdown", "Shell Script", "YAML", "JSON with Comments", "comment", "blank", "total"
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/QPACKString.swift", "Swift", 98, 0, 0, 0, 0, 119, 30, 247
"/Users/hiro/Local/wuse-project/quiver/Sources/QPACK/StaticTable.swift", "Swift", 175, 0, 0, 0, 0, 191, 25, 391
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/ConnectionRouter.swift", "Swift", 120, 0, 0, 0, 0, 81, 42, 243
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/ManagedConnection+Migration.swift", "Swift", 196, 0, 0, 0, 0, 157, 61, 414
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/ManagedConnection+Protocol.swift", "Swift", 192, 0, 0, 0, 0, 68, 38, 298
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/ManagedConnection+SendSignal.swift", "Swift", 55, 0, 0, 0, 0, 40, 8, 103
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/ManagedConnection+StreamOps.swift", "Swift", 59, 0, 0, 0, 0, 43, 12, 114
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/ManagedConnection.swift", "Swift", 900, 0, 0, 0, 0, 468, 203, 1571
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/ManagedConnectionState.swift", "Swift", 48, 0, 0, 0, 0, 60, 36, 144
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/ManagedStream.swift", "Swift", 110, 0, 0, 0, 0, 45, 39, 194
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/PacketProcessor.swift", "Swift", 548, 0, 0, 0, 0, 254, 131, 933
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/QUIC.docc/QUIC.md", "Markdown", 0, 59, 0, 0, 0, 0, 21, 80
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/QUICConfiguration.swift", "Swift", 187, 0, 0, 0, 0, 338, 76, 601
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/QUICConnection.swift", "Swift", 96, 0, 0, 0, 0, 115, 43, 254
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/QUICEndpoint+Client.swift", "Swift", 188, 0, 0, 0, 0, 122, 44, 354
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/QUICEndpoint+IOLoop.swift", "Swift", 189, 0, 0, 0, 0, 93, 34, 316
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/QUICEndpoint+Server.swift", "Swift", 159, 0, 0, 0, 0, 104, 33, 296
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/QUICEndpoint.swift", "Swift", 356, 0, 0, 0, 0, 156, 76, 588
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/QUICEndpointError.swift", "Swift", 9, 0, 0, 0, 0, 11, 8, 28
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/TimerManager.swift", "Swift", 163, 0, 0, 0, 0, 86, 56, 305
"/Users/hiro/Local/wuse-project/quiver/Sources/QUIC/VersionNegotiator.swift", "Swift", 116, 0, 0, 0, 0, 106, 42, 264
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/ConnectionState.swift", "Swift", 64, 0, 0, 0, 0, 27, 23, 114
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/DatagramQueue.swift", "Swift", 82, 0, 0, 0, 0, 40, 16, 138
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/FrameProcessingResult.swift", "Swift", 45, 0, 0, 0, 0, 43, 28, 116
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/IdleTimeoutManager.swift", "Swift", 159, 0, 0, 0, 0, 64, 50, 273
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/PMTUDiscovery.swift", "Swift", 348, 0, 0, 0, 0, 246, 102, 696
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/PathValidation.swift", "Swift", 254, 0, 0, 0, 0, 107, 78, 439
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/QUICConnectionHandler+Crypto.swift", "Swift", 106, 0, 0, 0, 0, 38, 27, 171
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/QUICConnectionHandler+Frames.swift", "Swift", 175, 0, 0, 0, 0, 79, 40, 294
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/QUICConnectionHandler+Migration.swift", "Swift", 42, 0, 0, 0, 0, 36, 17, 95
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/QUICConnectionHandler+Streams.swift", "Swift", 55, 0, 0, 0, 0, 50, 19, 124
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/QUICConnectionHandler.swift", "Swift", 328, 0, 0, 0, 0, 206, 100, 634
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICConnection/StatelessReset.swift", "Swift", 174, 0, 0, 0, 0, 120, 56, 350
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/DataReader.swift", "Swift", 249, 0, 0, 0, 0, 71, 52, 372
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/DatagramSendingStrategy.swift", "Swift", 6, 0, 0, 0, 0, 21, 4, 31
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Frame/Frame.swift", "Swift", 130, 0, 0, 0, 0, 52, 32, 214
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Frame/FrameCodec.swift", "Swift", 534, 0, 0, 0, 0, 99, 120, 753
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Frame/FrameSize.swift", "Swift", 168, 0, 0, 0, 0, 88, 53, 309
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Frame/FrameTypes.swift", "Swift", 203, 0, 0, 0, 0, 92, 75, 370
"/Users/hiro/Local/wuse-project/quiver/Sources/QUICCore/Packet/CoalescedPackets.swift", "Swift", 216, 0, 0, 0, 0, 93, 47, 356
